Date,Street,OffenseCategory,Lat,Lon
01/05/2000,BUCK JONES RD,Motor Vehicle Theft,35.7686,-78.7397
01/21/2000,REED ST,Drugs,35.7902,-78.7629
01/31/2000,CROSSROADS BLVD,Larceny,35.7604,-78.7391
02/16/2000,CROSSROADS BLVD,Larceny,35.7604,-78.7391
02/18/2000,E CHATHAM ST,Drugs,35.7922,-78.7669
02/21/2000,LUDINGTON CT,Robbery,35.8111,-78.7806
02/25/2000,E CHATHAM ST,Drugs,35.7922,-78.7669
02/29/2000,CROSSROADS BLVD,Fraud,35.7604,-78.7391
02/29/2000,CROSSROADS BLVD,Larceny,35.7604,-78.7391
03/19/2000,OLD APEX RD,Aggravated Assault,35.7688,-78.8074
03/20/2000,BARGATE DR,Burglary,35.7665,-78.7897
03/27/2000,WATERFORD FOREST CIR,Motor Vehicle Theft,35.7853,-78.8083
04/01/2000,WESTPORT DR,Robbery,35.7517,-78.7803
04/01/2000,WESTPORT DR,Simple Assault,35.7517,-78.7803
04/12/2000,HIDDEN OAKS DR,Larceny,35.8043,-78.7774
04/17/2000,BUCKINGHAM CT,Larceny,35.7800,-78.7938
04/18/2000,GLENDON WAY,Larceny,35.7997,-78.8732
04/23/2000,HARLON DR,Motor Vehicle Theft,35.7684,-78.7471
04/26/2000,CRICKETFIELD LN,Larceny,35.7403,-78.7499
04/27/2000,TWIN OAKS PL,Fraud,35.7630,-78.7856
05/05/2000,GLEN ECHO LN,Larceny,35.7315,-78.7757
05/08/2000,PENNSBURY CT,Fraud,35.7709,-78.8389
05/23/2000,REED ST,Simple Assault,35.7875,-78.7622
06/01/2000,WILKINSON AV,Sex Offenses,35.7895,-78.7795
06/02/2000,E PARK ST,Larceny,35.7846,-78.7682
06/02/2000,TRYON RD,Simple Assault,35.7435,-78.7660
06/02/2000,TRYON RD,Sex Offenses,35.7435,-78.7660
06/08/2000,HAMPTON LEE CT,Larceny,35.8221,-78.7812
06/16/2000,RIDGECREST RD,Larceny,35.7840,-78.7869
06/16/2000,RIDGECREST RD,Burglary,35.7840,-78.7869
06/18/2000,RICHELIEU DR,Vandalism,35.7217,-78.7966
06/25/2000,KILBRECK DR,Larceny,35.7518,-78.8115
07/01/2000,WALDO ST,Fraud,35.7891,-78.7694
07/03/2000,BRANNIFF DR,Larceny,35.7960,-78.7698
07/05/2000,WEATHERLY PL,Vandalism,35.7305,-78.7469
07/13/2000,MERRIWOOD DR,Drugs,35.7817,-78.7630
07/22/2000,KEYSTONE DR,Simple Assault,35.8173,-78.7941
07/28/2000,FOLIAGE CIR,Larceny,35.7394,-78.7552
08/02/2000,KAREN CT,Fraud,35.7664,-78.7456
08/02/2000,KAREN CT,Fraud,35.7664,-78.7456
08/04/2000,WALNUT ST,Larceny,35.7528,-78.7442
08/07/2000,REED ST,Vandalism,35.7875,-78.7622
08/16/2000,N HARRISON AV,Fraud,35.8312,-78.7686
08/18/2000,AUTO MALL DR,Forgery,35.7402,-78.8087
08/19/2000,KILDAIRE FARM RD,Fraud,35.7602,-78.7820
09/02/2000,NC 55 HWY,Drugs,35.7854,-78.8730
09/02/2000,WALNUT ST,Forgery,35.7642,-78.7461
09/08/2000,HOGANS VALLEY WAY,Burglary,35.8079,-78.8380
09/10/2000,WALNUT ST,Fraud,35.7642,-78.7461
09/11/2000,WALNUT ST,Forgery,35.7642,-78.7461
09/15/2000,HIGH HOUSE RD,Forgery,35.7887,-78.8269
09/15/2000,MIDDLETON AV,Fraud,35.7938,-78.7939
09/16/2000,WALNUT ST,Fraud,35.7642,-78.7461
09/24/2000,TRYON RD,Fraud,35.7454,-78.7613
09/24/2000,WALNUT ST,Forgery,35.7642,-78.7461
09/25/2000,WALNUT ST,Forgery,35.7642,-78.7461
09/27/2000,HYDE PARK CT,Simple Assault,35.8059,-78.7776
09/27/2000,KAREN CT,Simple Assault,35.7670,-78.7464
10/05/2000,WALNUT ST,Forgery,35.7642,-78.7461
10/05/2000,WALNUT ST,Fraud,35.7642,-78.7461
10/09/2000,N HARRISON AV,Forgery,35.8015,-78.7845
10/09/2000,N HARRISON AV,Fraud,35.8015,-78.7845
10/13/2000,KILDAIRE FARM RD,Fraud,35.7704,-78.7822
10/15/2000,SUTERLAND RD,Simple Assault,35.7577,-78.8176
10/21/2000,WALNUT ST,Forgery,35.7642,-78.7461
10/24/2000,FERRELL ST,Simple Assault,35.7926,-78.7790
10/31/2000,RIDGEMONT HILL RD,Fraud,35.7953,-78.8167
11/01/2000,HIGH HOUSE RD,Fraud,35.7891,-78.8487
