NAME,Segment,LENGTH,TYPENAME1,TYPENAME2,SurfaceType,Jurisdiction,Responsibility,TOWNZONE
Amberly Lake GW Connector,Connects to Brookhill Way,0.04,Greenway Connector,Primary Greenway,Asphalt,Cary,Developer,West
Amberly Lake Greenway,Amberly Lake 1 Segment,0.33,Greenway,Primary Greenway,Asphalt,Cary,Developer,West
American Tobacco Trail,Durham Co. to Chatham Co.,4.73,Greenway,Primary Greenway,Asphalt,Chatham Co,Cary,West
Annie Jones GW Connector,Connects to Abbots Glen,0.02,Greenway Connector,Soft Surface Greenway,Aggregate,Cary,Cary,Central
Annie Jones GW Connector,Connects to Charter Ct,0.01,Greenway Connector,Soft Surface Greenway,Aggregate,Cary,Cary,Central
Annie Jones Greenway,Coatbridge Segment,0.58,Greenway,,,Cary,Cary,Central
Annie Jones Greenway,Lake Pine Segment,0.21,Greenway,Soft Surface Greenway,Aggregate,Cary,Cary,Central
Annie Jones Greenway,Tarbert-Gatehouse Segment,0.36,Greenway,Secondary Greenway,Asphalt,Cary,Cary,Central
Batchelor Branch Greenway,KC Farm Road Segment,0.31,Greenway,Primary Greenway,Asphalt,Cary,Cary,West
Batchelor Branch Greenway,The Reserve Segment,0.76,Greenway,Primary Greenway,Asphalt,Cary,Cary,West
Bishop's Gate Greenway,Citywalls Pond Loop,0.24,Greenway,Secondary Greenway,Asphalt,Cary,Developer,Central
Bishop's Gate Greenway,Pond To Pond,0.37,Greenway,Secondary Greenway,Asphalt,Cary,Developer,Central
Bishop's Gate Greenway,Westhigh Street,0.72,Greenway,Secondary Greenway,Asphalt,Cary,Developer,Central
Bishops Gate GW Connector,Connects to Castle Garden Street,0.06,Greenway Connector,Secondary Greenway,Asphalt,Cary,Developer,Central
Bishops Gate GW Connector,Connects to Old London Way,0.04,Greenway Connector,Secondary Greenway,Asphalt,Cary,Developer,Central
Bishops Gate GW Connector,Connects to Westhigh Street,0.02,Greenway Connector,Secondary Greenway,Asphalt,Cary,Developer,Central
Black Creek Connector,Connects to Weston Pkwy,0.13,Greenway,Primary Greenway,Asphalt,Cary,,F
Black Creek GW Connector,Connects to Evans Road,0.1,Greenway Connector,Primary Greenway,Asphalt,Cary,,West
Black Creek GW Connector,Connects to Linton Banks Place,0.11,Greenway,,Asphalt,,,
Black Creek GW Connector,Connects to Midenhall Way,0.08,Greenway Connector,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek GW Connector,Connects to Tynemouth Drive,0.04,Greenway Connector,,,,,
Black Creek Greenway,Battery 1 Segment,0.13,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Battery 2 Segment,0.2,Greenway,Primary Greenway,Asphalt,Cary,Developer,Central
Black Creek Greenway,Battery 4 Segment,0.28,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Battery3 Segment,0.18,Greenway,Primary Greenway,Asphalt,Cary,Developer,Central
Black Creek Greenway,Boat House to Oxxford Hunt GW,0.06,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Bond Park Boathouse Bypass,0.14,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Castalia 2 Segment,0.5,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Crabtree Lake GW to Reedy Creek Trailhead,0.74,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Crabtree Lake GW to Weston Pkwy SS Trail,0.1,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Dynasty Segment,0.33,Sidewalk Connector,Sidewalk,Concrete,Cary,Cary,Central
Black Creek Greenway,Godbold Segment,1.15,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Hub Segment,0.06,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Maynard 1 Segment,0.21,Street-Side,Street-Side,Concrete,Cary,Cary,Central
Black Creek Greenway,Maynard 2 Segment,0.12,Greenway,Primary Greenway,Concrete,Cary,Cary,Central
Black Creek Greenway,Maynard 3 Segment,0.39,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Maynard 4 Segment,0.93,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Maynard 5 Segment,0.23,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Old Reedy Creek 2 Segment,0.25,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Temporary Section Black Creek,0.09,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Black Creek Greenway,Weston Pkwy SS Trail to Reedy Creek GW,1.2,Greenway,Primary Greenway,Asphalt,Cary,Cary,Central
Braebrook Way Street-Side Trail,Kit Creek Trail to Carpenter Town Ln,0.22,Street-Side,Street-Side,Concrete,Cary,Developer,West
Camp Branch Greenway,Through Stanton Place,0.73,Greenway,Primary Greenway,Asphalt,Cary,Developer,South
Carpenter Elementary GW Connector,Connects to Carpenter Elementary,0.14,Greenway Connector,Secondary Greenway,Asphalt,Public School,,
Carramore Ave Street-Side Trail,Davis Drive to Louis Stephens,0.61,Street-Side,Street-Side,Concrete,Cary,Developer,West
Cary Park Lake GW Connector,Connects to Alden Bridge Drive,0.04,Greenway Connector,Secondary Greenway,Asphalt,,,
Cary Park Lake Greenway,South Around Cary Park Lake,1.13,Greenway,Primary Greenway,Asphalt,Cary,Developer,West
Chapel Hill Rd Street-Side Trail,Maynard Rd to Chesterfield Dr,0.29,Street-Side,Street-Side,Concrete,Cary,Developer,Central
Chatham Street-Side Trail,High House at Chatham Street,0.08,Street-Side,Street-Side,Concrete,,,
Churchill Estates Greenway,Ten Ten Road Through Churchill Estates,0.58,Greenway,Secondary Greenway,Asphalt,Cary,Developer,South
Columbus Avenue Street-Side Trail,Crossroads Hotel prop boundary to Caitboo Ave,0.17,Street-Side,Street-Side,Concrete,Cary,Developer,South
Convention Dr Street-Side Trail,Convention Dr Segment 2,0.08,Street-Side,Street-Side,Concrete,Cary,Cary,Central
Copperleaf Greenway,Connects to the ATT,0.3,Greenway,Primary Greenway,Asphalt,,,
Copperleaf Greenway,Through Copperleaf PDD,0.42,Greenway,Secondary Greenway,Asphalt,Cary,Developer,West
Crabtree Creek Greenway,White Oak GW to Bond ballfields,0.28,Greenway,Soft Surface Greenway,Aggregate,Cary,Cary,Central
Davis Dr Street-Side Trail,Carramore Ave to Valleystone Dr,0.41,Street-Side,Street-Side,Concrete,Cary/Morrisvill,Cary,West
Davis Dr Street-Side Trail,Lake Grove Blvd to Carramore Ave,1.61,Street-Side,Street-Side,Concrete,Cary/Morrisvill,Cary,West
Davis Dr Street-Side Trail,Valleystone Dr to  White Oak Creek GW,0.17,Street-Side,Street-Side,Concrete,Cary,Cary,West
Davis Dr Street-Side Trail,Valleystone Dr to  White Oak Creek GW,1.15,Street-Side,Street-Side,Concrete,Cary,Cary,West
Downing Village Greenway,Indian Creek GW  to Downing Village,0.19,Greenway,Secondary Greenway,Asphalt,Cary,Developer,Central
Downing Village Street-Side,Along Downing Glen Drive,0.06,Street-Side,Street-Side,Concrete,Cary,Developer,Central
Dutchman's Branch Greenway,Greyhawk,0.36,Greenway,Primary Greenway,Asphalt,Cary,Developer,South
Evans Rd Street-Side Trail,Evans Rd to Allen Lewis Drive,0.39,Street-Side,Street-Side,Concrete,Cary,Cary,Central
GLC Rd Street-Side Trail (East),Carpenter Fire Station Road to Panther Creek GW,0.39,Street-Side,Street-Side,Asphalt,Cary,Developer,West
GLC Rd Street-Side Trail (East),East side of GLCR North of Kit Creek Rd,0.15,Street-Side,Street-Side,Concrete,Cary,Developer,West
GLC Rd Street-Side Trail (East),Evans Farm Sub to Rosepine Dr,0.26,Street-Side,Street-Side,Asphalt,Cary,Cary,West
GLC Rd Street-Side Trail (East),Stonewater - east side,0.59,Street-Side,Street-Side,Asphalt,Cary,Developer,West
GLC Rd Street-Side Trail (East),Village at the Park - west side,0.25,Street-Side,Street-Side,Concrete,Cary,Developer,West
GLC Rd Street-Side Trail (West),Stonewater - west side,0.58,Street-Side,Street-Side,Asphalt,Cary,Developer,West
Glenkirk Greenway,Segment through Glenkirk Subdivision,0.13,Greenway,Secondary Greenway,Asphalt,Cary,Developer,Central
Green Hope School Greenway,Batchelor Branch Greenway to Sears Farm Rd Park,0.53,Greenway,Secondary Greenway,Concrete,Cary,Developer,West
Green Hope School Greenway,Green Hope School Rd to Highcroft Elem,0.25,Greenway,Secondary Greenway,Concrete,Cary,Developer,West
Green Hope School Greenway,Sears Farm Rd Park to Highcroft Elem,0.19,Greenway,Secondary Greenway,Concrete,Cary,Developer,West
Green Hope School Rd Street-Side Trail,Morrisville Pkwy to Raftery GW,0.17,Street-Side,Street-Side,Asphalt,Cary,Developer,West
Green Hope School Rd Street-Side Trail,Raftery GW along Green Hope School Rd,0.2,Street-Side,Street-Side,Asphalt,Cary,Developer,West
Green Level Greenway,Along Brooks Park Lane,0.28,Greenway,Primary Greenway,Asphalt,Cary,Cary,West
Green Level Greenway,Connects to Mills Park Dr,0.08,Greenway,Primary Greenway,Asphalt,Cary,,West
Green Level Greenway,Hilliard Forest Segment,0.23,Greenway,Primary Greenway,Asphalt,Cary,Developer,West
Green Level Greenway,Mills Park - parallel to collector Road,0.29,Street-Side,Street-Side,Concrete,Cary,Wake Schools,West
Greenwood Circle Greenway,Within Walnut Street Park,0.18,Greenway,Secondary Greenway,Asphalt,Cary,Cary,Central
