NAME,PARKTYPE,OWNER,OWNERTYPE,CalcAcreage,LINK,LOCATION,Baseball_Softball_Fields,Basketball_Court,Multi_use_Slab,Open_Play_Field,Sand_Volleyball_Courts,Soccer_Multipurpose_Fields,Tennis_Practice_Walls,Tennis_Courts,Gift_Pro_Shop,Shelter_Reservation_Rental_Acc,Playgrounds,Picnic_Shelters,GRILLS,TABLES,REST_ROOMS,Concession_Vending,Amphitheater,Climbing_Boulders,Lake_for_Boating_Fishing,Ropes_Course,Skate_Ramps,Disc_Golf_Course,Dog_Exercise_Areas,Trails_Walking_Paths,Access_To_Greenway,x,y,Lat,Lon
Annie L. Jones Park,Neighborhood Park,Cary,Local,9.81,http://townofcary.org/depts/prdept/parks/annie.htm,1414 Tarbert Drive,1,2,0,0,0,0,1,6,F,F,1,0,F,T,T,F,F,F,F,F,F,F,F,F,T,2055510.6648,732075.159,35.761335326,-78.81289035
Black Creek Greenway Trailhead Park,Special Use Park,Wake County,County,1.18,,2055 NW Maynard Road,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2062019.6188,746926.31775,35.802100125,-78.79084523
Cary Arts Center,Community Use Facility,Cary,Local,1.77,http://www.townofcary.org/Departments/Parks__Recreation___Cultural_Resources/Fac,316 N Academy Street,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2064899.9561,739852.8315,35.7826502,-78.7811842
Cary Downtown Theatre,Community Use Facility,Cary,Local,0.39,,122 East Chatham Street,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2065170.7877,741482.4585,35.787125614,-78.7802589
Cary High School Softball Field,School Park,Wake County,County,1.78,,638 Walnut Street,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2068950.8333,735674.82675,35.771146689,-78.76755935
Cary Public Library,Community Use Facility,Cary,Local,2.36,,310 South Academy Street,0,48,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2064657.731,740435.103,35.784251334,-78.78199657
Cary Tennis Park,Venue,Cary,Local,21.56,http://townofcary.org/depts/prdept/parks/tenniscntr.htm,2727 Louis Stephens Drive,0,0,0,0,0,0,2,33,T,F,0,0,F,F,T,T,F,F,F,F,F,F,F,F,F,2040780.3661,747831.2865,35.804688213,-78.86246808
Davis Drive Park,Neighborhood Park,Cary,Local,16.39,http://townofcary.org/depts/prdept/parks/davis.htm,1610 Davis Drive,0,1,0,0,0,4,0,0,F,T,1,1,F,T,T,F,F,F,F,F,F,F,F,F,T,2045998.4187,736145.94675,35.772564073,-78.84493176
Davis Drive School/ Park,School Park,Wake County,County,5.73,,2101 Davis Drive,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2044065.6734,738060.08325,35.777830904,-78.8514377
Dorothy Park,Mini Park,Cary,Local,0.79,http://townofcary.org/depts/prdept/parks/dorothy.htm,720 Griffis Street,0,0,0,0,0,0,0,0,F,F,0,0,F,F,F,F,F,F,F,F,F,F,F,F,F,2062132.9658,737965.9905,35.777482892,-78.79052674
