NAME,LOCATION,TYPE,HISTORIC,MeetingRooms,CLASSROOMS,BALLROOM,RoomsforReservation,CateringKitchen,GYMNASIUM,Library_MediaRoom,CeramicsStudio,Gallery_Exhibits,Gift_SupplyShop,PerformanceArea,X,Y,Lat,Lon
Cary Senior Center,120 Maury Odell Place,Staffed Facility,f,t,f,t,t,t,f,t,t,t,f,f,2051561.7399,740861.47316,35.785493706,-78.82614909
Bond Park Community Center,150 Metro Park Drive,Staffed Facility,f,t,f,f,t,t,t,f,f,f,f,f,2052209.7589,740639.95511,35.784881994,-78.82396549
Herbert C. Young Community Center,101 Wilkinson Avenue,Staffed Facility,f,t,f,f,t,t,t,f,f,t,f,f,2065080.6405,742764.8487,35.790649254,-78.7805533
Page-Walker Arts & History Center,119 Ambassador Loop,Staffed Facility,t,t,t,f,t,t,f,f,f,t,t,t,2065428.6653,742075.36062,35.788752914,-78.77938496
Bond Park Boathouse,190 Bond Park Drive,Staffed Facility,f,f,f,f,f,f,f,f,f,f,t,f,2051611.8702,739328.16926,35.78128103,-78.82598912
Jordan Hall Arts Center,908 North Harrison Avenue,Special Use Facility,f,f,t,f,f,f,f,f,f,f,f,f,2064500.5991,746159.53419,35.799978912,-78.78248407
Stevens Nature Center at Hemlock Bluffs Nature Pre,2616 Kildaire Farm Road,Staffed Facility,f,f,t,f,f,f,f,f,f,t,t,f,2064188.0067,718440.38125,35.723827687,-78.78374186
Middle Creek Community Center,151 Middle Creek Park Avenue,Staffed Facility,f,t,f,f,t,f,t,f,f,f,f,f,2070864.7814,697550.756,35.666394208,-78.76141613
USA Baseball National Training Complex,200 Brooks Park Lane,Sports Venue,f,f,f,f,f,f,f,f,f,f,f,f,2031920.3846,745162.96539,35.797387648,-78.89235813
Cary Tennis Park,2727 Louis Stephens Drive,Sports Venue,f,f,f,f,f,f,f,f,f,f,f,f,2040793.4427,747430.6384,35.803587473,-78.86242585
Koka Booth Amphitheatre,8003 Regency Parkway,Special Use Facility,f,f,f,f,f,f,f,f,f,f,f,f,2060553.4308,720066.59675,35.728316595,-78.79597595
WakeMed Soccer Park,201 Soccer Park Drive,Sports Venue,f,f,f,f,f,f,f,f,f,f,f,f,2072639.5505,741174.06559,35.786230348,-78.75507859
SK8-Cary @ Godbold Park,2040 NW Maynard Road,Special Use Facility,f,f,f,f,f,f,f,f,f,f,f,f,2061799.6011,746257.17011,35.800263064,-78.79159195
Godbold Dog Park,2036 NW Maynard Road,Special Use Facility,f,f,f,f,f,f,f,f,f,f,f,f,2061414.0442,746267.6686,35.800294123,-78.79289209
Cary Arts Center,101 Dry Avenue,Staffed Facilitiy,t,t,t,f,t,t,f,f,t,t,t,t,2064872.508,739875.14039,35.782711656,-78.78127657
Ferrell Store,1928 Morrisville Carpenter Road,Undeveloped,t,f,f,f,f,f,f,f,f,f,f,f,2037991.6592,753786.42191,35.821058818,-78.87184706
Ebenezer Jones Homestead,9701 Penny Road,Undeveloped,t,f,f,f,f,f,f,f,f,f,f,f,2069950.3633,713011.08914,35.708875495,-78.76437118
A.M. Howard Farm,1580 Morrisville Carpenter Road,Undeveloped,t,f,f,f,f,f,f,f,f,f,f,f,2040739.6379,755115.00533,35.824698682,-78.86257143
