PERMIT_TYPE,APP_YR,APP_NUM,ISSUEDATE,STATUSDATE,STATUS,ADDRESS,Lon,Lat
BR11,0,4841,01/02/2001,04/27/2001,C.O. ISSUED,110 WHEATSBURY DR,35.783469761,-78.84377049
BR11,0,4893,01/02/2001,10/03/2001,C.O. ISSUED,509 POTOMAC GROVE PL,35.818145302,-78.85654923
BR11,0,4995,01/02/2001,08/06/2002,C.O. ISSUED,602 PRESIDENTS WALK LN,35.818561628,-78.86051644
BR11,0,4863,01/03/2001,05/17/2001,C.O. ISSUED,4515 TRILAND WAY,35.69372543,-78.78989494
BR11,0,5004,01/03/2001,07/02/2001,C.O. ISSUED,101 DARBY GALE DR,35.708542599,-78.79821482
BR11,0,5017,01/03/2001,09/10/2001,C.O. ISSUED,108 DARBY GALE DR,35.707639508,-78.79890578
BR11,0,5030,01/03/2001,06/19/2001,C.O. ISSUED,102 CRESTRIDGE CT,35.808571686,-78.79924521
BR11,0,4025,01/04/2001,06/19/2001,C.O. ISSUED,111 ANITA WAY,35.808229975,-78.79155637
BR11,0,4380,01/04/2001,05/14/2001,C.O. ISSUED,204 BILLINGRATH TURN LN,35.769124494,-78.85693078
BR11,0,4833,01/04/2001,08/28/2001,C.O. ISSUED,207 BILLINGRATH TURN LN,35.768903849,-78.85631891
BR11,0,4874,01/04/2001,09/13/2001,C.O. ISSUED,109 ROSECRANS CT,35.72385492,-78.75798469
BR11,0,4979,01/04/2001,05/11/2001,C.O. ISSUED,210 WENTBRIDGE RD,35.768564949,-78.86129629
BR11,0,4980,01/04/2001,05/11/2001,C.O. ISSUED,608 WAKEHURST DR,35.768134306,-78.86115015
BR11,0,5031,01/04/2001,06/01/2001,C.O. ISSUED,105 RATTLE SNAP CT,35.797528523,-78.8496937
BR11,0,4224,01/05/2001,07/13/2001,C.O. ISSUED,120 PARMALEE CT,35.806845157,-78.86110936
BR11,0,4710,01/05/2001,04/18/2001,C.O. ISSUED,412 HALLS MILL DR,35.76905968,-78.84864595
BR11,0,4773,01/05/2001,07/20/2001,C.O. ISSUED,421 HALLS MILL DR,35.768517733,-78.84946536
BR11,0,4819,01/05/2001,07/11/2001,C.O. ISSUED,510 SHERWOOD FOREST PL,35.769985642,-78.85166838
BR11,0,4824,01/05/2001,07/02/2001,C.O. ISSUED,512 SHERWOOD FOREST PL,35.769692925,-78.85169811
BR11,0,4945,01/05/2001,05/08/2001,C.O. ISSUED,422 HALLS MILL DR,35.7689579,-78.84972201
BR11,0,4696,01/08/2001,07/27/2001,C.O. ISSUED,309 BANYON TREE LN,35.808749659,-78.79960593
BR11,0,4885,01/08/2001,05/23/2001,C.O. ISSUED,404 HICKORYWOOD BLV,35.793444637,-78.85221124
BR11,0,4892,01/08/2001,06/14/2001,C.O. ISSUED,112 MINTAWOOD CT,35.819990356,-78.90417365
BR11,1,18,01/09/2001,06/11/2001,C.O. ISSUED,4500 TRILAND WAY,35.691779444,-78.79002197
BR11,0,5044,01/10/2001,09/12/2001,C.O. ISSUED,201 WALFORD WAY,35.815422327,-78.90676406
BR11,0,3982,01/11/2001,10/31/2001,C.O. ISSUED,305 DEVONHALL LN,35.709393838,-78.80062368
BR11,1,28,01/11/2001,07/27/2001,C.O. ISSUED,304 JOLIESSE LN,35.79666213,-78.88134355
BR11,0,4704,01/12/2001,07/11/2001,C.O. ISSUED,106 SHILLINGS CHASE DR,35.696573592,-78.80053856
BR11,0,4860,01/12/2001,07/26/2001,C.O. ISSUED,103 BRADWYCK DR,35.781868697,-78.84466026
BR11,0,4864,01/12/2001,05/30/2001,C.O. ISSUED,308 BANNINGFORD RD,35.694045739,-78.79208011
BR11,0,4981,01/12/2001,08/15/2001,C.O. ISSUED,318 SW MAYNARD RD,35.771952548,-78.78940334
BR11,0,5042,01/12/2001,06/06/2001,C.O. ISSUED,108 BOWERS LN,35.781838105,-78.8765284
BR11,1,11,01/12/2001,06/06/2001,C.O. ISSUED,203 CAKEBREAD CT,35.796381421,-78.8841151
BR11,0,4533,01/16/2001,10/11/2002,C.O. ISSUED,109 MORRIS BRANCH CT,35.818898596,-78.91070764
BR11,0,4820,01/16/2001,04/18/2001,C.O. ISSUED,408 HALLS MILL DR,35.769146695,-78.84845733
BR11,0,4903,01/16/2001,01/28/2002,C.O. ISSUED,222 WALFORD WAY,35.814720421,-78.90824237
BR11,0,5052,01/16/2001,08/06/2002,C.O. ISSUED,103 HEDGEWOOD CT,35.819460805,-78.90752077
BR11,1,52,01/16/2001,07/31/2001,C.O. ISSUED,105 MARBLE FALLS WAY,35.793482183,-78.85465121
BR11,1,53,01/17/2001,06/19/2001,C.O. ISSUED,506 HICKORYWOOD BLV,35.793268008,-78.85343025
BR11,1,56,01/17/2001,05/22/2001,C.O. ISSUED,1021 AUGUSTINE TRL,35.694929077,-78.79506208
BR11,1,75,01/17/2001,10/10/2001,C.O. ISSUED,303 JOLIESSE LN,35.797312147,-78.88169662
BR11,1,78,01/17/2001,06/15/2001,C.O. ISSUED,1002 AUGUSTINE TRL,35.694107528,-78.79406883
BR11,0,4823,01/18/2001,05/08/2001,C.O. ISSUED,403 SHERWOOD FOREST PL,35.769974665,-78.84977232
BR11,1,116,01/18/2001,06/20/2001,C.O. ISSUED,118 GALSWORTHY ST,35.691542031,-78.79159685
BR11,1,132,01/18/2001,06/29/2001,C.O. ISSUED,1005 AUGUSTINE TRL,35.694535276,-78.79458132
BR11,0,4586,01/19/2001,01/18/2002,C.O. ISSUED,200 BELLES LANDING CT,35.818623837,-78.90967745
BR11,1,69,01/19/2001,06/21/2001,C.O. ISSUED,109 ROSENBERRY HILLS DR,35.812473333,-78.805025
BR11,1,126,01/19/2001,07/02/2001,C.O. ISSUED,303 MILLSFORD HILL PL,35.696275076,-78.80142768
BR11,0,5046,01/22/2001,09/20/2001,C.O. ISSUED,106 ANNA LAKE LN,35.804936076,-78.79966052
BR11,1,2,01/22/2001,06/26/2001,C.O. ISSUED,503 BURGWIN WRIGHT WAY,35.769267613,-78.85722692
BR11,0,4784,01/23/2001,07/26/2001,FINAL INSPECTION COMPLETE,303 CONNEMARA DR,35.793796638,-78.86669598
BR11,1,63,01/23/2001,06/06/2001,C.O. ISSUED,316 COUNCIL GAP CT,35.796735591,-78.84024265
BR11,1,83,01/23/2001,07/16/2001,C.O. ISSUED,518 HICKORYWOOD BLV,35.793130567,-78.85487044
BR11,1,131,01/23/2001,05/29/2001,C.O. ISSUED,206 LORD LEVENS LN,35.823302855,-78.86078006
BR11,1,82,01/24/2001,08/21/2001,C.O. ISSUED,110 STERLING RIDGE WAY,35.797609598,-78.85410744
BR11,1,133,01/24/2001,06/08/2001,C.O. ISSUED,1022 AUGUSTINE TRL,35.695532466,-78.79496862
BR11,1,137,01/25/2001,07/16/2001,C.O. ISSUED,533 HICKORYWOOD BLV,35.793505142,-78.85637875
BR11,1,229,01/25/2001,06/01/2001,C.O. ISSUED,2026 AMBROSE PARK LN,35.69620174,-78.79248032
BR11,0,5034,01/26/2001,07/26/2001,C.O. ISSUED,503 ALLENHURST PL,35.694936104,-78.80059386
BR11,1,79,01/26/2001,06/08/2001,C.O. ISSUED,711 EVANVALE CT,35.710461097,-78.80066083
BR11,1,125,01/26/2001,08/02/2001,C.O. ISSUED,504 ALLENHURST PL,35.695006935,-78.80113555
BR11,1,127,01/26/2001,10/01/2001,C.O. ISSUED,302 MILLSFORD HILL PL,35.696833903,-78.80142013
BR11,1,128,01/26/2001,02/19/2002,C.O. ISSUED,202 SHILLINGS CHASE DR,35.69700548,-78.80051363
BR11,1,129,01/26/2001,02/19/2002,C.O. ISSUED,300 MILLSFORD HILL PL,35.696848545,-78.80111335
BR11,1,230,01/26/2001,05/24/2001,C.O. ISSUED,2017 AMBROSE PARK LN,35.695357231,-78.79325683
BR11,0,5076,01/29/2001,03/11/2002,C.O. ISSUED,121 MORRIS BRANCH CT,35.819476021,-78.91250509
BR11,1,10,01/29/2001,08/22/2001,C.O. ISSUED,312 EVANS ESTATES DR,35.806382011,-78.78868697
BR11,1,134,01/30/2001,10/17/2001,C.O. ISSUED,109 DEVONHALL LN,35.711357489,-78.7980911
BR11,1,155,01/30/2001,,C.O. ISSUED,628 CANON GATE DR,35.708363262,-78.79921519
BR11,0,5003,01/31/2001,08/06/2001,C.O. ISSUED,301 JOLIESSE LN,35.797305949,-78.88199756
BR11,0,4575,02/01/2001,05/16/2001,C.O. ISSUED,308 SHERWOOD FOREST PL,35.770443587,-78.848792
BR11,1,191,02/01/2001,06/01/2001,C.O. ISSUED,101 CALEBRA WAY,35.76596108,-78.86702585
BR11,1,192,02/01/2001,05/29/2001,C.O. ISSUED,103 CALEBRA WAY,35.765938947,-78.8672276
BR11,1,283,02/01/2001,06/19/2001,C.O. ISSUED,2012 AMBROSE PARK LN,35.694750474,-78.79264138
BR11,1,285,02/01/2001,07/20/2001,C.O. ISSUED,2005 AMBROSE PARK LN,35.694190999,-78.79354002
BR11,1,286,02/01/2001,05/23/2001,C.O. ISSUED,2002 AMBROSE PARK LN,35.693920276,-78.79292902
BR11,1,287,02/01/2001,08/20/2001,C.O. ISSUED,2011 AMBROSE PARK LN,35.694765325,-78.79331757
BR11,1,288,02/01/2001,06/13/2001,C.O. ISSUED,1020 AUGUSTINE TRL,35.695452743,-78.79472927
BR11,0,5057,02/02/2001,01/29/2002,C.O. ISSUED,223 WALFORD WAY,35.814945536,-78.90748167
BR11,1,188,02/02/2001,07/02/2001,C.O. ISSUED,308 COUNCIL GAP CT,35.796800448,-78.84131699
BR11,1,203,02/02/2001,11/07/2001,C.O. ISSUED,100 MORGANFORD PL,35.695029614,-78.80001375
BR11,1,205,02/02/2001,09/07/2001,C.O. ISSUED,100 DARBY GALE DR,35.708599781,-78.79878139
BR11,1,206,02/02/2001,07/10/2001,C.O. ISSUED,626 CANON GATE DR,35.708132581,-78.79925466
BR11,0,5061,02/05/2001,07/02/2001,C.O. ISSUED,300 PEACHTREE POINT CT,35.812036037,-78.80526595
BR11,1,221,02/05/2001,07/02/2001,C.O. ISSUED,401 PEACHTREE POINT CT,35.810922282,-78.80589183
BR11,1,268,02/06/2001,02/19/2002,C.O. ISSUED,104 GAMBARDELLI CT,35.812949435,-78.86095015
BR11,1,282,02/06/2001,07/16/2001,C.O. ISSUED,107 KEATING PL,35.693104631,-78.79542823
BR11,1,396,02/06/2001,07/02/2001,C.O. ISSUED,4503 TRILAND WAY,35.692204004,-78.7907669
BR11,1,404,02/06/2001,07/10/2001,C.O. ISSUED,115 GALSWORTHY ST,35.692292988,-78.79135625
BR11,0,4421,02/07/2001,05/22/2001,C.O. ISSUED,518 SHERWOOD FOREST PL,35.769050196,-78.85148518
BR11,0,4821,02/07/2001,07/02/2001,C.O. ISSUED,508 SHERWOOD FOREST PL,35.770251651,-78.85161569
BR11,1,258,02/07/2001,07/05/2001,C.O. ISSUED,208 NANTUCKET DR,35.820695283,-78.79434932
BR11,1,271,02/07/2001,07/02/2001,C.O. ISSUED,205 CAKEBREAD CT,35.79644897,-78.88387338
BR11,1,405,02/07/2001,07/27/2001,C.O. ISSUED,4506 TRILAND WAY,35.692448497,-78.78995659
BR11,1,406,02/07/2001,07/19/2001,C.O. ISSUED,206 FARADAY CT,35.693172603,-78.79087401
BR11,0,4320,02/08/2001,07/30/2001,C.O. ISSUED,313 COMMONS WALK CIR,35.8192341,-78.85778585
BR11,1,289,02/08/2001,06/15/2001,C.O. ISSUED,4502 TRILAND WAY,35.692002222,-78.79000018
BR11,1,330,02/08/2001,10/11/2001,C.O. ISSUED,116 HAMILTON HEDGE PL,35.822580276,-78.86197476
BR11,0,5043,02/09/2001,10/08/2001,C.O. ISSUED,102 CREEKBURY CT,35.818277494,-78.90743891
BR11,1,189,02/09/2001,09/25/2001,C.O. ISSUED,305 WAYFIELD LN,35.695370373,-78.7993853
BR11,1,365,02/09/2001,10/31/2001,C.O. ISSUED,6750 GOOD HOPE CHURCH RD,35.82828692,-78.87279716
BR11,1,380,02/09/2001,07/27/2001,C.O. ISSUED,601 BARRET MANOR CT,35.8113928,-78.80704504
BR11,1,381,02/09/2001,09/24/2001,C.O. ISSUED,604 BARRET MANOR CT,35.812036618,-78.80744717
